Title,Review Text,Division Name,Department Name,Class Name
Interesting pant!,I recommend zooming in on the fabric as there are like ink streaks on it which at first i thought was a flaw but it is clearly shown--and is actually a nice touch to make these different!  the fit is true to size or a tiny bit small if you are curvy in the hips.  i wear a 10-12 and the l is fine but i wouldn't want them any smaller.  super lightweight the piping detail on the sides is really cute!,General Petite,Bottoms,Pants
Zipper broke,"The zipper broke on this piece the first time i wore it. very disappointing since i love the design. i'm actually going to try to replace the zipper myself with something stronger, but annoying that it's come to that.",General Petite,Tops,Blouses
Petite and busty- avoid,"I wanted to like this so much. it's a great good girl dress, church dress. however, it makes no sense. it's a summer dress with massively thick lining that snags i'm petite and busty and it made me look and feel very wide.",General Petite,Dresses,Dresses
Nothing like other stevies,"I have other stevies, and these are nothing like them. the quality is very synthetic to a point that the material is shiny. the pants themselves run very small in the waist, approx. two sizes too small compared with other stevies. additionally, the cuff is sewn like that in place, and hits at an odd spot if you are taller or have strong calves. see how it gapes in the cuff on the model? like, a rounded bottom? that is way more emphasized in real life. buyer beware!",General Petite,Bottoms,Jeans
Not a wow,"I bought the bronze color which was nice but the cut just hung like a dust rag, no fit , no drape
very unfinished looking. though i bought it on sale on sale, it is not worth keeping. over all it was not a worthwhile blouse to keep.",General Petite,Tops,Knits
Sizing runs very large,"I am petite and ordered size small, and it came looking like gym sweat pants. the material was very nice, but in terms of the waist and length size, both run incredibly large. the cuff of the joggers are also not elastic at all, and hangs loose widely. will have to return this item, unfortunately.",Initmates,Intimate,Lounge
Not a take home for me,"I just tried the blue polka dot one on at my local retailer. i'm 5'3ish, 117#, 34d-dd and usually wear a size 4 or xs in most retailer brands. i tried this in size 2 and had a better fit hence the runs large rating. this is a very plunging neckline. not work appropriate and i'm fairly notorious for being out there. the band in the back didn't hit right at my bra in the back so not sure what to tell you there. the shoulder straps are adjustable. there are 2 buttons so you can tighten it up a bit so y",General,Dresses,Dresses
Stumpy arms,When i saw the dress i loved everything about it except the arms made me a little nervous. i ordered it when it went on sale and it turns it the arms are worse then i thought they would be. they are like my grandmother crochet it and accidentally attached my child's dress arms on my dress.,General Petite,Dresses,Dresses
Good fit,"Good fit, quality, similar to the brand's other jeans.",General,Bottoms,Jeans
One of the cutest tops i have for this summer!,I love this top! it fits perfect and is of great quality! i ordered the pink and love it so much i'm getting the navy one! colors are so trendy as well. this top is so much cuter in person. hard to tell the detail online. definitely recommend to others!,General,Tops,Blouses
Terrible buy,I wouldn't be so unhappy if these pants cost about 75% less. they are so cheaply constructed. one wash and they're all but guaranteed to shrink. the material is so cheap and flimsy not at all what i expect from retailer. they are also 32 inch inseam not 35.5 as stated on the web site which is the whole reason i bought them.,Initmates,Intimate,Sleep
Felt like a weird 80s sweater,"I ordered the red in size m. for reference i am 5'8"" with a long-ish torso. i would have been comfortable wearing the sweater with mid or high-rise jeans but it's fairly short. color was gorgeous. the balloon sleeves and seams just seemed too 1980s in a bad way on me. those with small chests may have better luck. i left like a suburban mom in it.",General,Tops,Fine gauge
Mixed bag,"Great cut and fit. tts. size 6 fit my 5'5"", 135 pound frame (34b/c bust) wonderfully. my sister and best friend loved it on. but i'm returning. the color is more of a very bright orange than red. i would want to wear this in the middle of summer but the all-polyester fabric is hot. i have too many dresses in my closet. cute as it is, i'd just never pick this one. love to see this design in lighter fabric and different color options. 1-2"" longer would also be a slightly better length.",General Petite,Dresses,Dresses
Feels amazing!,"Almost perfect! this jacket doesn't have that weird vegan smell. it's soft, smooth, and very high quality. this jacket is also a nice surprise for us busty ladies. i'm a 32ddd and the m fit nicely, no squishing (as the other reviewers have said, the chest has room!). 

i got the gray, and i loved it it's soft tint. i returned it because the lower band of the jacket sits right at my widest part of my torso, my post-baby belly. the jacket is sort of short like a peplum, and i want to hide the st",General,Jackets,Outerwear
"Beautiful style, poor craftmanship","The fabric was a beautiful color, but the material and seams were not well put together. the elastic in the arm was stretched before i tried on the dress so the sleeves did not fit well. i unfortunately ended up returning.",General,Dresses,Dresses
Maeve...has failed on this,"Maeve is one of my favorite retailer designers. usually fall in love with a blouse, only to look at the tag and discover it's by maeve (go figure).
this top is just atrocious though. does nothing for girls with a larger chest. very boxy and unflattering. gorgeous colors though, and the sleeve concept is cute. however, where the sleeve meets the shirt looks cheap and thrown on. not impressed.",General Petite,Tops,Blouses
Beautiful but will lose shape,"This top was a disappointment for me. it was beautiful but because of the material it is made out of, it will stretch out as you wear it and not regain it's shape. it is also a little heavy for day time during summers in the south.... but the weight of it was not so much of a concern as the ability to retain its shape.",General,Tops,Sweaters
Not for the high waisted,"I was so sad not to love this dress. it is beautiful, but is so unflattering on. there is a lot of material under the arms and it gathers up due to the smocking. so, it just made me look incredibly frumpy. i don't really think a petite would have helped - the gathers just bunch a bit and so rather than hang, the dress sort of clumps. i am lean but broad shouldered and maybe that is the problem, but i was super disappointed. narrow shouldered people with long torsos could pull this off. it is a t",General,Dresses,Dresses
Frumpy,"Did not work for me. material was a bit thin, poor quality, the tie doesn't quite work correctly. had a cheaper look to it. not the quality i'd normally expect. this is going back.",General,Tops,Fine gauge
Odd fit,"I thought the photo of these pants was so cute. when i got them in the mail i opened the package and just began to laugh over how long they were. i held the waist up to my chest, just below my shoulders and the pants still hit the ground. i am not a short woman! i ordered a 14, i am 5' 6"". i also found the waistband a little small in relation to the size.",General,Bottoms,Pants
Too big armholes,"I wanted to like this sporty dress too. i teach at an elementary school and like to get down on my knees st my students level - plus we can get messy most days with our learning and most days are go - go - go being ""on"" every second...the armholes were cut too big and weirdly squared. i didn't like the middle ""ridge"" either as it was unflattering. it was returned.",Initmates,Intimate,Lounge
How do you spell my-mu?,"I love the pattern adn color combo, but, wow,t really flatering on me. too much fabric. i felt like i was trying to hide wight gain or pregnancy or wearing a mumu. anyway, not for me, but others might toll wnat to try in case it was just me... too bad.

length was decent in regulat size though, not too long. just too wide.",General,Dresses,Dresses
"Strange cut, pretty idea","I bought this in size xl and it ran small along the waist & bottom hemline. i'm pear-shaped so it's an awkward fit. i'll wear it tucked in or belted. they used a lot of material in the sleeves & through the top portion. i wish they hadn't made it such a narrow cut along the bottom.

the sleeves are very pretty. the embroidery they used for the cutouts is a little rough & scratchy. since i got it on sale & like the color, i'm keeping it. i recommend trying this on if you can.",General,Tops,Blouses
Not for my curves,"5'7"", 34c, 28 jeans, size 4 dress. fell in love with the pattern in particular, knowing the design might not work best for my body. ordered the size small - it was not unflattering - but it did nothing for my body type. if anything, the excess fabric made me appear wider and made my waist non-existent. the trouble was that the skirt portion has the elastic band starting high - approximately right under your chest - almost like an empire waist (this is hidden by the flap of material hanging over",General,Dresses,Dresses
A little odd...,"Love the knit, color, texture--but oddly a short and boxy fit...and so...not flattering.",General Petite,Tops,Sweaters
"Great look, poor fit","I'm a consistent size 6 (ordered a small) with a pretty athletic build (wide shoulders and strong arms) and this dress simply did not fit with those proportions. the sleeves and back were far too tight. additionally, the bow did not cover my bra strap, likely because it isn't made for someone my height. had to return.",General,Dresses,Dresses
Casual but with sparkle,"This si=hirt actually has a shimmer to the fabric. it is more of sweatshirt material but i like the thickness, not too thick not too thin. the color is nice in person, and has a shimmer to it. i like the detail in the neck too with the sequins. reason i didn't get it is it felt a little big on me (smallest is xs) and also the color wasn't optimal (i am rather pale). otherwise, i do like the shirt.",General Petite,Tops,Knits
Beautiful but not flattering,"Beautifully made, gorgeous colors. i wanted to love this, but it just wasn't flattering - too ""a"" shaped, not enough drape to flatter.",General,Dresses,Dresses
Not worth the $$,"I loved the cut of these pants and the button accent on the pockets. however, the material was quite thin and the quality was not great- there were multiple snags along the seams. additionally, at 5'8, 130lbs i was swimming in the size 4. i would have tried sizing down if the quality was better.",General Petite,Bottoms,Pants
Transformed into a crop top with one washing,I loved this shirt until the first time i washed it. it shrunk so much it became unwearable. when i returned it the salesperson said she had also bought this shirt and the same thing happened.,General,Tops,Knits
Too boxy,It's not as form fitting & hour-glass shaped in real life as on the model. i think they must have clipped it in the small of her back so it does not look so boxy. otherwise it's nice.,General,Tops,Sweaters
"Pattern is beautiful, just to-die","This is a shift dress, which is a great dress for many people, in a kind of man-repeller way. by saying that, i mean, a really pretty dress that can show off amazing shoes, good legs, a beautiful face and hair. this is not a body con dress. however, when you do such a high neckline and boxy sleeves, you do no one any favors. everyone has a nice neck and decolletage and collarbone. everyone. the neckline needs to open up a bit....i'm not saying v-neck, just a bit lower than this, because it makes",General Petite,Dresses,Dresses
Sizing issues,"This immediately caught my eye in the neutral pattern, and the fabric is actually quite nice. the fit is at least a size or two too large though, with the bust being way too large for me even sizing down. my normal 4 was big everywhere, and the 2 was still big in the chest, but fit everywhere else. the belt is handy for cinching in some of the loose areas, but the top section just didn't work for me. maybe better for someone better endowed?",General,Dresses,Dresses
Warm & stylish,"I love this jacket - can dress it up or dress it down. over a dress, skirt or jeans. very soft and flattering!",General,Jackets,Jackets
"Fun and hip, but not too young","At 46 years old, i still like fun, hip, fashionable items, but i don't want to look like i raided my 21 year old daughter's closet. this jacket hits the mark perfectly. it looks great layered over a casual dress or with skinny jeans and a wedge. the embroidery and the back tie soften the masculine color and shape. i'll be wearing this often!",General Petite,Jackets,Jackets
Disappointing for the price,"The cut of this piece is great, the quality of the fabric is terrible. i used it under another layer the first day i wore it and it pilled across the bust. after hand washing in cold water and hanging to dry it shrank in length- so much that i can no longer even wear it. i always happily pay a premium for quality staple wardrobe pieces. this didn't hold up to one wearing, let alone one season. i recommend strongly against it.",General Petite,Tops,Blouses
"Droopy front, heavy fabric","Right out of the bag, this top didn't really match the one pictured here (it is the right top, though). the fabric was heavy and felt ""damp"" -- the way something feels coming out of the wash. very odd.
and the fit is nothing like what's shown on the model. the ""v"" is not fitted or nicely wrapped (or even tacked in place) -- it was just two loose, droopy pieces so most of my bra was showing no matter how many times i put the pieces back where they belonged (i'm neither ""flat chested"" nor ""busty""",General,Tops,Knits
Had such promise,"I was really excited after finding this top online and reading the reviews; the combination of peplum, cap sleeves, and color seemed too good to be true. i ordered a size medium but unfortunately, this top is on the short side so wearing it with pants or jeans did not work out. in addition, the fabric was more sheer than it looks in the picture and the v-neck in front dipped a little lower, too. a camisole might have solved both of those problems but i didn't bother. i returned it to the store.",General Petite,Tops,Blouses
"Armholes too big, gap","This dress is lovely fabric, generaly nicely tailored, but weirdly large around armholes, which gap. i'm sending it back. also this 'red' is more like a fuschia.
 dress was generally a a bit too big on top, oddly both too long in the torso, and the shoulders cut too far in--they didn't cover bra straps--as well as unattractively large armholes. you can even see it on the model. i i'm a size 10 to 12, fairly busty but not extremely, and with a slightly short torso, which is party the problem (th",General,Dresses,Dresses
Softness and comfort,"This is a beautiful well designed top. the pattern is laid out to match on each side. the back has a narrow center insert of sheer fabric, for an interesting detail, with wonderful construction. this sheer fabric is also added to the bottom as an edging . this measures only 1 1/4"" wide and lays flat and finished off well. the sleeves have excess fabric for comfort but do not make one's arms look heavy. the unusual neckline shape in the front is well sewn and lays flat nicely. i think this top is",General,Tops,Knits
Fabric is poor quality,I purchased this jacket in my local store. size 10 and runs really small . i love the color combination and design but the fabric in my opinion is poor quality. i have seen a lot of retailer use this poly spun knit in so much of their items and the jacket after bringing it home and looking in the light was already showing pilling. looks like it is worn in an bad way. returned the next day. this was a big disappointment and every time i see this fabric being used in retailer clothes it makes me mad.,General,Jackets,Jackets
Love this top,"This top arrived by mail this morning, it is beautiful even prettier than the picture. fits true to size and is wonderful quality. cannot wait to wear it when i leave on vacation this weekend.",General Petite,Tops,Blouses
Buyer beware- stretches out significantly!,"I am obsessed with denim and have two other pairs of ag jeans from retailer that i am very happy with. my recent preference has been for high-rise skinny jeans and decided to give these a try because of the versatile medium wash. when i tried these on in my normal size, they were so cute that i bought them full-priced. i could tell that the material was pretty stretchy (which is what makes them soft and comfortable), but was not expecting them to stretch out and sag after a few hours. by th",General,Bottoms,Jeans
Strange fit,"Well made but strange fit. the medium was long and narrow, waaay too small.",General Petite,Jackets,Jackets
Too wide,"I don't know why this piece is so wide around the body. the fabric is very good. just the design is way boxy. i get xsp, still boxy.",General,Tops,Knits
Ewwww!!!,"I thought this dress looked so cute and comfortable and was excited to try it on, and i was majorly disappointed. it was incredibly unflattering, in every way. as a few of the other reviewers mentioned, if you have any sort of bust the dress will not hang nicely, the waist band was too high up and made me look pregnant. i'm 5'2 and curvy and usually take a lg in retailer, but this...ewww! i will say the color and material are gorgeous, but i'm guessing this is the type of dress that would look bes",General Petite,Dresses,Dresses
Ethereal and beautiful,"I don't usually pay full-price for retailer clothes, but i had a 20%-off coupon and i decided to give this dress a try, as it irradiated a happy vibe and reminded me of books and dress-up clothes from my childhood. i don't regret it one bit! the colors and the print are absolutely beautiful and i love how they mix up and contrast in a subtle way. i really like the long sleeves with the elastic at the wrist. the cord at the waist hangs with a fun mix of tiny beads, faux mini crab claws, and faux mi",General,Dresses,Dresses
Not for long torsos,"I adored this suit - the style, the colors, the thick quality of the fabric...but unfortunately the bottom seams cut into my groin and backside so much, it was practically painful! i'm 5'7', 128 lbs, and usually wear a size small, but was advised to size up. even with the medium i tried on, everything fit well but the length, though i've never thought i had a long torso. sizing up to a large would make the bust way to large for my small b chest. was so sad to return this suit!",Initmates,Intimate,Swim
New favorite dress,"I had only planned to check out this dress at the store but ended up buying it then and there! not a deal breaker but there were extra threads hanging from some parts of the dress. it made me a bit concern that the stitching would unravel during wear. so far, so good! i wish they had paid more attention to little details like that.",General,Dresses,Dresses
Pretty but awkward,"I buy pretty much every tiny top retailer carries and so of course i grabbed this one online. i would say size wise it's consistent for tiny, which in my opinion is in the ""runs small"" category as i'm a large in basically every top ever except the tiiny brand where i always have to take an xl. anyway, the print is beautiful but the neckline is strange- there is a very flimsy button keeping it tacked shut at the very top, and if that snap pops open it's open all the way down to the waist area where",General,Tops,Knits
Not for a petite!,I really liked the style of this top but it's way oversized! i'm petite and drowned in this top even though i got it in an xs. the material is nice but i can't see i had a feeling for the cut because it runs so big. this one is going back to the store!,General,Tops,Knits
Baggy,"I loved the lines in this jacket, but ended up returning it because they didn't show up how i expected. the jacket had a surprisingly baggy fit (s on my usual s/4/6) and wasn't quite what i was looking for.",General Petite,Tops,Sweaters
Not flattering on anyone,"Disappointed, the cut of the layer makes anyone wearing it look pregnant. even the model in the picture the way that layer hangs.",General,Tops,Blouses
Too cropped,"As others have said, this is cropped, so will look funny with most pants that aren't high waisted. i'm going to try it with a few dresses before i return it. the lining is adorable, so i don't want to have to send it back.",General Petite,Tops,Fine gauge
Disappointed - totally different in person,"This tunic only barely resembles the photo in person.

first, the color is much less saturated and more orangey than it appears in the photos

second, it's huge. i'm 5'4"" and typically wear 2 or 4p in retailerpolgies' shirts/dresses. i ordered the sp and the dress was at least 1.5 times wider than it needed to be. it hung off me completely boxy and shapeless; and the style doesn't really lend itself to use with a belt.",General Petite,Tops,Sweaters
Not for petite girls,"I think these are amazing for anyone over, say, 5'5"". the way these hung on me (at 5'2"") were very unflattering in the front. they had an unfortunate masculine effect to them. that's all i can say without being crass.",General,Bottoms,Pants
Beautiful top,"I received this top over the weekend and i absolutely love it! it does not smell, nor does it itch, as the other reviewer stated... at least not for me. i was worried about the green color, but it's quite lovely. this is a keeper for me! i am 5'1"", but ordered the regular xs, and i am happy with the length.",General,Tops,Blouses
Beautiful and unique,"I wore this dress to my work christmas party and got compliments all night! it's a beautiful dress with fantastic details, and it is very comfortable. i am 5' 5.5"" and about 122 lbs. i am typically a 0 on top, 2 waist, and 2-4 bottom. i ordered the 2 and it was the right choice for me. it was a little snug on the bum and around the thighs (it pulled ever so slightly in the front) but it still looked good. it's stretchy without looking like it is stretchy. the top part of the dress fit well, and",General Petite,Dresses,Dresses
Cute,"I like this top, and while it doesn't look on me like it does the model, i think it will be good for work purposes. would say it runs big and does have the maternity look risk (i bought this two months postpartum, so i need tops that cover the post baby belly and this works for that purpose). the grey is nice. bought on sale, but wouldn't recommend paying full price.",General Petite,Tops,Knits
The white dress is extremely see-through,"I ordered the white ""denim"" online and was very disappointed by how thin the material was. i had tried on the light blue denim in the store and it had a nice weight to it. the style is wonderful and the fit is very flattering, but too sheer for me to wear outside the house!",General Petite,Dresses,Dresses
Nice but sleeves and body have volume,"Color is pretty true to pic, a bright blue red.  sleeves have more volume than pic.  so does the body.  in my opinion.  maybe if i looked like the model.  i wear a 27 in jeans and it doesn't look so cute on me.  also i'm a brunette.  angles?  pinning?  i have to wonder.  probably just pics at good angles.  it looks really cute on the model though.",General,Tops,Knits
Comically bad.,"I don't normally write reviews, but this shirt was so terrible, that i felt inspired. 

first off, the seam that is in both the front and back of the shirt is much more pronounced than in the photo. secondly, there is no shape whatsoever, unlike in the photo. it bells out like a tent. it honestly looks like a shirt you would buy if you were trying to appear pregnant when not. overall, this shirt is an insult to the female form. 

retailer, what is with all of these shapeless, frocks in cheap f",General Petite,Tops,Knits
Shrinks! don't buy,"I tried on and bought this shirt in my usual size and it fit long and loose but still had great shape. after hand washing in cold water and air drying, as per instructions on the tag, the shirt shrunk significantly. so much so that my stomach shows if i raise my arms at all. it also lost its shape, and now looks very boxy and is very unflattering. i won't be wearing it and am disappointed i didn't even get to wear it once!",General,Tops,Knits
"Cute, but not quite right...","Great idea, but this was not a flattering top on me. it almost worked, but ended up making me look like i am pregnant?not a look i am striving to achieve?it has potential and maybe others with a different body type may have success. ( i am curvy on bottom and have a long torso) for the price, it did not justify a place in my closet?",General,Tops,Blouses
On its way back to retailer,The print is very pretty but the fabric is stiff and it runs way too big.  looks great on the model but awful on me.,General,Tops,Blouses
Unflattering,The wash on these jeans made my hips look twice as big. that in combination with the looser boyfriend cut was not flattering. quality was excellent. denim was thick with the right amount of stretch. unfortunately they had to go back.,General,Bottoms,Jeans
Soft button down,"I bought this a few weeks back. when i saw it (the blue one) in the store i touched it and it was extremely soft and even plush like. i tried it on and found it odd that this cloth and stone garment, like other viewers stated fit my bust and hips, typically they don't. i love the side buttons. i wear mine opened half way. my only complaint is i've washed it like the instructions state and my blouse is no longer as soft as it was before, and it needs to be ironed as it wrinkles easily. i still li",General,Tops,Blouses
Flawed pattern,"Let me start this review by saying, 75% of my clothing is from retailer and i love them. my husband bought this sweater for me recently and it's gorgeous, but when i tried it on one sleeve was longer than the other. i went to the store and tried on several sweaters even in different colors and had the same issue. sometimes is was extreme, sometimes is wasn't as noticeable. it was noticeable to me, however, as i am 6' and sleeve length is super obvious when its too short. love the sweater, as it wa",General,Tops,Sweaters
Cute,"This top has a flattering shape. the neckline is low, but not too low for work, and it flares a bit at the bottom. my only complaint is that it is short. i have a longish torso and this shirt hits right at the top of my pant's waistline. i just prefer tops to be a bit longer, but it's still a cute top.",General,Tops,Blouses
Cutesy,Cute and perhaps a little too innocent for my age because the petite was too high and wide on me.  fits great on my shoulders/chest and the flare can be controlled with a layer and belt.  i already have a few ivory lace dresses that look age appropriate first try.  i don't think i have the right personality for this one.  looks great on everyone else i've seen wearing it!,General Petite,Dresses,Dresses
Horrible!,"This dress is horrible. i can't believe they can get away with calling it a ""dress"". it should have been called a tunic or shirt. it looks like it is a soft flowing dress made out of nice material from the pictures, no way. it is made from sweatshirt material it is lifeless and is kind of stiff. it came to the top of my thighs. i can't find one nice thing to say about this dress and i do not recommend it. the picture does it so much more justice that it is worth.",Initmates,Intimate,Lounge
No good for larger busts,"The design of this dress is very cute, but if you have an average to large bust, don't even think about it. returned, unfortunately.",General,Dresses,Dresses
Flimsy,"Oh what a disappointment! i was looking forward to wearing this as a layering piece with the shawl cardigan. the material lacks serious quality and it was ripped on the seam. so, back it goes. and, i am flabbergasted at the price retailer is charging almost $60 for this top!",General Petite,Intimate,Lounge
Great cozy sweater,"I initially bought the red and blue sweater in a medium. i usually wear a large and the medium fits perfectly and is still a bit baggy. i'm tall (5'9"") and so i love the length of the sleeves when they are unrolled. it's a very versatile piece. with sleeves rolled down you can fold the collar so the red is out of sight and just have a navy blue sweater. either look is nice. i loved it so much i bought the black and brown version. also, the fabric doesn't feel thick but it is very insulating and",General,Jackets,Jackets
Nice,"Was scared at first to order this product, when i tried it on i was amazed on how good it looks. fits just like the model picture, and the material is awesome.",General,Tops,Knits
Not for me,"I was searching for the perfect large comfy sweater for the cold winter weather ahead and i thought this would be it. it looks so cute in the pictures but when i received in by mail it wasn't what i was searching for. this sweater, like on the model, is quite large. although i wanted a large sweater, the fit of this one didn't fit well on me. it has more of a boxy feel to it. i usually wear a medium, but went with a small because i expected this to fit a little large and it still engulfed me. i",General Petite,Jackets,Jackets
Too short,"This top would be great if it were longer and the neck wasn't so open. even for a boatneck, the neck was too wide. for those that don't mind showing their stomachs this top will be okay. the material is nice and stretchy and i like the stripes but just way too short for me.",General,Tops,Knits
Sleeves are too much,"I definitely like unique things, but the sleeves are way too much on this sweater.  it's a shame because it is so soft and comfortable, but overall i felt it looked somewhat silly on me.",General Petite,Tops,Knits
Runs very small,"Am typically a size 0 and could barely get the extra small on, which is a first. was very cute in theory, but i'd suggest sizing up (maybe 2x).",Initmates,Intimate,Swim
"Comfortable, soft",The material is very soft and it looks just like it does on the model with the exception that it gets a little wrinkly at the hem and turns up at the corners. i like it and have already worn it a few times.,General,Bottoms,Skirts
I agree with the whimsy,"Comments. the detail is lovely - especially the dragonflies on the sleeve. and the quality is there with the lining. trouble is this is thick fabric cut in a box shape. imo, you have to be very skinny to pull this off and not look like a tank. i looked at the model (after purchasing) and notice that she has it open and swept back a bit bc if it is not, it is terribly unflattering.",General,Tops,Sweaters
Huge,"I was so excited to order this dress, had the perfect red shoes to go with it. unfortunately i could have been nine months pregnant and still wear the small. i am 5'4/118lb and it was like a maternity dress. sad to send it back.",General,Dresses,Dresses
Love this top,"This top is so much prettier on. you can dress it up or down. it does run a tad large. i'm 5'7"" and 145 lbs. i am usually in between a small and medium but usually a medium. i went for the small on this and i loved the fit of it. still pretty flowy and the medium would have been just too big. it is a tunic so it runs kind of long. a tiny bit too long for me but i will still wear it a lot.",General,Tops,Blouses
Enormous!!,"I know this product description says oversized but that's an understatement. i ordered a small and tried it on and i looked like a little kid in their father's jacket. i don't even think an xs would have worked. i'm 5'6"" and about 135 pounds for reference. i will say that the embroidery on the back is very cool and this jacket is overall a cool concept but it's just way too big.",General Petite,Jackets,Jackets
Beauty and the beast,"I love the designs of tiny blouses. but i wish they could make them more durable. i have owned several blouses in the past where i have to use a little pin to secure the button line from pulling at the breast area, or that after a few delicate washings have come apart at a seam. and ironing or steaming them is a must. this blouse was no exception. it went back because of pulling at the bust. i'm willing to take some extra care of my clothing out of my busy schedule, but i shouldn't have to! 5'7""",General Petite,Tops,Knits
What happened?,"I purchased this item in the gray heather color and loved it so much i wanted to buy every other color. the fabric was cottony and felt very soft and cushy against my skin, and the gray color was from the combination of black and white fibers. i ordered the light gray and the red online and could not wait for them to arrive. but the other colors were not even in the same material, but a very shiny and synthetic feeling fabric, with just a single color weave that did not have the same feel or tex",General,Tops,Knits
Porportions seem odd,"The design of this dress was very off for my 5'4"", 120 lb, 32d frame. it's low-cut and tight in the bust, but then very voluminous and unstructured around the hips, making me look wide there. a belt didn't help much. the fabric is nice, but the overall effect of the dress was frumpy.",General Petite,Dresses,Dresses
"Great print, awkward cut","I tried this dress on in the store, prepared to buy this lovely piece. i feel that it should have been a few inches longer, it would look more proportionate. next, the tie is really difficult to place, but it creates some great detail to the front and back. it wrinkles easily, i can see it would need to be ironed before each wear. lastly it is not lined, what a bummer, at least the skirt could be lined. but, it does have pockets, that is sweet.",General,Dresses,Dresses
Nope,"I was so excited for this dress.. but sadly it did not meet expectations. the gauze fabric already had several snags/pullers in it. the underslip was very short and just cleared my derriere.(i'm 5'7"") i normally take a 10/12 and ordered this in a l.. it was somewhat clingy in the hip area but yet bulky on top. also, i like to have the first button open, but you could then see the v neck of the underslip and it looked hokey. it's definitely a thicker material than the previous plaid tunic holding",General Petite,Dresses,Dresses
Cute but didn't work for me :(,"I really wanted this skirt to work but it didn't look very flattering on me. a great midi length and very cool pattern, so hopefully will work for others!",General,Bottoms,Skirts
Cute but tight,"These are pretty good high-rise jeans--probably the best you'll find for the price. they're all one color, no whisking or fading, so they look dressier than your average jeans, and the cut through the leg is bone straight, which i think flatters most body shapes. i agree with the other reviewers--they are tight. i got these in a 25, my usual size, and they squeeze my belly. i probably could've sized up, but i'm waiting to see if they stretch out the way most levi's do.",General,Bottoms,Jeans
Horrifying fabric,"I had a dress that felt like this in 1993. it jiggles, even if you don't. no amount of spanx can cure a dress jiggling of its own accord. the neckline that i had thought would be classic instead veered into frumpy. all in all i felt like it belonged in a discount store surrounded by polyester brethren.",General,Dresses,Dresses
Way way too long,"These are absolutely beautiful pants. soft and wearable right away, but the other reviewer is right. if you are average or short, these will be way too long. they won't even look like cropped pants, just regular wide leg jeans. i am keeping them b/c i love the look and i will also have them altered to be shorter. it's disappointing that these were designed for the statuesque instead of the other 90% of us, especially considering the amazingly high price for a pair of jeans. so... i guess i am di",General,Bottoms,Jeans
Cute but not comfortable,"I was wondering whether to purchase this top and decided last weekend during the 20% off event, i would splurge!!! i got the m as i'm tall (5'10"") and it does look a little strange on the arms atleast on my body. the sleeve is cut too high for me. i wish it was longer or even a long-sleeved item! the peach-apricot- nude colored fabric is a little uncomfortable and the fabric close to the neck is a different grey from the other sweatshirt pieces. the sweatshirt pieces aren't particularly soft eit",General,Tops,Knits
Not as pictured.,"Online, this looks like a great sweater. i ordered an xxsp and found that this sweater is much wider in the middle than pictured. in fact, i'm pretty sure they pinned the shirt in the back for the picture to make it appear slimmer. unfortunately, this sweater will not work for me, as i am an hourglass shape and this shirt makes me look 20 pounds heavier.",General,Tops,Fine gauge
Do not buy it!!!,"This pants the worst short that i ever had!!
i bought ;this short last week and i laundry it yesterday and it came out lost color!!
i was really shock definetly will return it to store.
fyi, i never use chrolox or bleach when i laundry.",General,Bottoms,Shorts
A-symmetric hemline,"It's not totally apparent in all of the photos, but this dress does have a very noticeable a-symmetric hemline. i have read other reviewers that have said this dress is ""forgiving"" and a good choice for people with an hourglass frame. if you are truly an hourglass (small waist, larger shoulders and hips due to bone structure rather than weight,) this dress is a poor choice. the fabric of this dress tends to cling to the outermost hip, and the a-symmetry of this particular hemline not only draws",General Petite,Dresses,Dresses
Perfect jumper,Great material. quality and versatility is there. it is easy to get in and out of which is hard to find and the fit is adjustable at the waist.,General,Bottoms,Pants
Great t,"Love this t-shirt! i live in miami and have a 5 month old so i practically live in shorts and t-shirts, and this shirt fits beautifully and adds a little extra pop to your everyday t. love the material too!",General Petite,Tops,Knits
Too loose on top,"I was planning to order it online but someone returned it to my local store and i tried it on.............. my regular size is 6. i have another byron lars dress size 6 that fits me like a glove. this dress fits beautifully from the waist down. the top part is very loose and at least a size too big. very disappointing. i am not sure if it is just me or this particular dress, but it was not flattering. :(",General,Dresses,Dresses
A huge miss that could've been a hit,"What a shame this dress is. i wear xl and am 5'2"", but the dress in the store in the size xs(!!!!!) looked just the right size. yup! xs was just the right size. i can't imagine anyone who wears m or s finding this dress fit flattering. it would look like a sack. it is an inch or two too short in the front for me, so i'll be returning it.",General,Dresses,Dresses
Could have been better...,"I grabbed my typical size (8) and found it fit snug in the bust. the fabric has plenty of stretch, so the snugness was fine, especially because it meant there was no gaping along the neckline in the front. it's lowcut, but i didn't feel particularly exposed. i ended up not buying it because i don't think it fit my body right. the distance between the top of the shoulder and the bottom of the arm hole was too long for me - a significant portion of my bra was exposed at the bottom of the arm hole",General Petite,Dresses,Dresses
Cute but very tight,These run small. i normally wear 28 on ag stevie's and paige jeans so i ordered these in 28 and they were very tight. otherwise very well made and super cute but i had to return them.,General,Bottoms,Jeans
